sbj_id,acc_x,acc_y,acc_z,label
4,-0.97412,0.29688,-0.13452,jumping
4,-1.80859,0.1228,1.00659,jumping
4,-1.82983,0.18872,-0.20166,jumping
4,-0.30054,-1.21704,-0.06665,jumping
4,1.68896,-1.18408,0.0,jumping
4,1.83472,-1.76221,-0.45532,jumping
4,0.89087,0.75806,-0.34741,jumping
4,1.03076,0.64087,-0.85059,jumping
4,1.02173,0.72656,-1.50195,jumping
4,1.60132,1.52661,-2.23975,jumping
4,1.84912,1.6731,-2.3645,jumping
4,1.87085,0.36987,-1.49463,jumping
4,0.73462,-0.15308,-0.50732,jumping
4,-0.09473,0.23657,-0.05884,jumping
4,-1.20825,0.46118,-0.0166,jumping
4,-0.96509,0.04614,0.46802,jumping
4,-0.57202,0.11816,0.01978,jumping
4,-0.56274,-0.53613,0.03345,jumping
4,0.18555,-1.36914,0.22827,jumping
4,0.92505,-0.64063,0.11865,jumping
4,1.43604,-0.71021,-0.15601,jumping
4,1.85059,0.79297,-1.3374,jumping
4,2.53613,0.72754,-2.22778,jumping
4,2.19824,0.7334,-1.85498,jumping
4,1.92944,-0.3125,-1.05322,jumping
4,0.88354,-0.51294,-0.24194,jumping
4,-0.72217,0.08984,-0.07837,jumping
4,-1.39282,0.30811,0.24927,jumping
4,-0.75879,-0.00732,0.27759,jumping
4,-0.72217,-0.02197,0.18335,jumping
4,-0.2561,-0.21094,0.12817,jumping
4,0.50903,-0.68433,0.45581,jumping
4,2.04199,-0.31299,-0.90991,jumping
4,2.57959,-0.12476,-1.51221,jumping
4,2.95435,-0.52148,-1.49585,jumping
4,2.42944,-0.25879,-1.448,jumping
4,2.19189,-0.43896,-1.23022,jumping
4,1.05225,-0.62207,-0.39551,jumping
4,-0.05273,-0.00098,-0.11304,jumping
4,-0.896,0.2085,0.74829,jumping
4,-0.85352,0.03394,0.03491,jumping
4,0.11206,-0.23022,-0.05469,jumping
4,1.09619,-0.63916,0.01782,jumping
4,1.74316,-1.14307,-0.02856,jumping
4,1.67041,-1.03223,-0.57227,jumping
4,2.12451,-1.47998,-0.6543,jumping
4,2.27661,-1.01196,-0.97437,jumping
4,2.29614,-1.1333,-0.92212,jumping
4,1.59253,-1.12036,-0.33984,jumping
4,0.25439,0.03442,-0.09375,jumping
4,-1.13989,0.29102,0.22266,jumping
4,-0.95703,0.08032,0.14526,jumping
4,-0.64063,-0.00146,0.05103,jumping
4,-0.3894,-0.0293,0.08911,jumping
4,0.64795,-0.69678,0.15625,jumping
4,1.53687,-0.94263,0.32642,jumping
4,2.021,-0.97925,-0.11646,jumping
4,2.12085,-1.33179,-0.35156,jumping
4,2.35059,-0.73145,-0.89233,jumping
4,2.30957,-0.97241,-0.79712,jumping
4,1.9292,-1.16016,-0.32788,jumping
4,0.81616,-0.67383,-0.14478,jumping
4,-0.7085,0.35571,-0.19604,jumping
4,-1.3562,0.32935,0.03662,jumping
4,-0.40234,0.00244,0.37402,jumping
4,-0.70361,-0.11206,0.18213,jumping
4,0.00195,-0.42358,0.04517,jumping
4,1.04468,-0.77856,0.18872,jumping
4,2.24609,-0.87158,-0.34595,jumping
4,2.44238,-1.50024,-0.20044,jumping
4,2.58618,-0.39966,-0.78882,jumping
4,2.26953,-0.84717,-0.83374,jumping
4,1.8562,-0.90356,-0.65015,jumping
4,0.94751,-0.73535,-0.27612,jumping
4,-0.01709,0.17603,-0.32104,jumping
4,-1.21387,0.33179,0.09692,jumping
4,-0.77808,0.04419,0.35669,jumping
4,-0.45093,-0.03833,0.25854,jumping
4,0.33081,-0.29004,0.05151,jumping
4,1.38843,-0.88086,0.18701,jumping
4,2.31567,-1.09131,-0.1897,jumping
4,2.23438,-0.30542,-0.53491,jumping
4,2.34766,-0.28784,-0.78613,jumping
4,2.27197,-0.39941,-1.12378,jumping
4,2.24146,-0.3999,-1.09619,jumping
4,1.43237,-0.64307,-0.48071,jumping
4,0.19971,0.1062,-0.20166,jumping
4,-1.10181,0.24316,0.25781,jumping
4,-0.89478,0.01221,0.22729,jumping
4,-0.60083,0.12964,-0.03003,jumping
4,-0.19824,-0.09741,0.11841,jumping
4,0.3938,-0.33521,0.05957,jumping
4,1.67285,-0.66235,-0.49219,jumping
4,2.54663,-0.71143,-0.84058,jumping
4,2.37451,-0.61353,-1.10181,jumping
4,2.19995,-0.76172,-1.03589,jumping
4,1.78174,-0.79858,-0.52734,jumping
4,0.68555,-0.33911,-0.21655,jumping
4,-0.90088,0.13379,-0.04858,jumping
4,-1.07422,0.19336,0.14746,jumping
4,-0.49854,0.18848,-0.04932,jumping
4,-0.28906,0.06519,0.04102,jumping
4,0.0354,-0.20923,0.17065,jumping
4,0.93555,-0.65527,0.2937,jumping
4,2.20703,-1.29224,-0.13257,jumping
4,2.5061,-0.50269,-0.71411,jumping
4,2.66602,-0.22241,-1.05298,jumping
4,2.30933,-0.76611,-0.77295,jumping
4,2.01196,-0.71704,-0.81201,jumping
4,0.90381,-0.54541,-0.48633,jumping
4,-0.28247,0.04663,-0.04419,jumping
4,-1.2627,0.33032,0.19849,jumping
4,-0.64282,0.11011,0.2168,jumping
4,-0.55444,0.04199,-0.00488,jumping
4,-0.1853,-0.10156,0.06226,jumping
4,0.50537,-0.63428,0.09814,jumping
4,2.06934,-1.27759,-0.59375,jumping
4,1.66772,-0.97925,-0.36108,jumping
4,2.63403,0.74756,-0.67651,jumping
4,2.54321,-0.03198,-1.7019,jumping
4,2.17529,-0.09375,-1.07642,jumping
4,1.927,-0.77783,-0.70972,jumping
4,0.85107,-0.97461,-0.17969,jumping
4,-1.48364,0.20117,-0.26318,jumping
4,-1.09424,0.58032,0.19336,jumping
4,-0.40796,-0.13965,0.34229,jumping
4,-0.60815,0.12622,0.375,jumping
4,-0.42188,-0.02148,0.25684,jumping
4,0.60864,-0.6416,0.37305,jumping
4,2.66992,-1.13574,-0.64063,jumping
4,3.07568,0.31543,-0.91187,jumping
4,2.20435,0.44995,-1.29761,jumping
4,2.04614,0.26611,-1.19116,jumping
4,2.16138,-0.75586,-0.58936,jumping
4,0.88745,-0.47974,-0.11914,jumping
4,-0.52197,-0.01855,0.08081,jumping
4,-1.14868,0.27759,0.26172,jumping
4,-0.67236,0.17285,0.15405,jumping
4,-0.46265,0.10107,-0.04297,jumping
4,0.10449,-0.09595,0.03711,jumping
4,0.7749,-0.43726,0.15796,jumping
4,1.79175,-0.65137,-0.40234,jumping
4,2.55151,-0.07251,-1.2937,jumping
4,2.22388,-0.34717,-1.10156,jumping
4,1.96021,-0.47095,-0.7605,jumping
4,0.98047,-0.22656,-0.29736,jumping
4,0.11719,-0.12134,-0.0813,jumping
4,-1.05762,0.09546,0.28442,jumping
4,-0.83057,0.01733,0.21948,jumping
4,-0.48364,0.12915,0.02539,jumping
4,-0.26465,0.21191,-0.01489,jumping
4,0.41992,-0.28467,0.06348,jumping
4,2.39038,-0.84106,-0.1709,jumping
4,2.05347,0.43066,-1.13867,jumping
4,2.60254,0.89624,-1.89575,jumping
4,2.47192,0.69897,-1.8811,jumping
4,1.96509,-0.12305,-1.00171,jumping
4,0.66528,-0.50366,-0.11255,jumping
4,-1.75586,0.2063,0.37085,jumping
4,-1.15234,-0.01147,0.21558,jumping
4,-0.93164,0.1394,-0.08276,jumping
4,-0.49512,-0.125,-0.17749,jumping
4,0.14014,-0.48682,0.1333,jumping
4,1.36206,-0.83423,0.56128,jumping
4,2.52417,-0.94873,-0.34546,jumping
4,2.9729,-0.01709,-1.24609,jumping
4,2.44995,0.16455,-1.33887,jumping
4,2.3396,-0.37622,-1.16895,jumping
4,2.00562,-1.04492,-0.46655,jumping
4,0.38574,-0.65405,-0.20703,jumping
4,-2.60962,0.96924,-0.00562,jumping
4,-0.66016,-0.13477,0.54077,jumping
4,-0.9856,-0.24292,-0.18164,jumping
4,-0.02563,-0.46094,0.06396,jumping
4,0.65698,-0.54199,0.3667,jumping
4,1.68579,-1.12842,0.48657,jumping
4,2.04663,-1.07495,-0.30176,jumping
4,2.45044,-0.56616,-0.41821,jumping
4,2.49707,-0.62549,-0.67554,jumping
4,2.23486,-1.11157,-0.48438,jumping
4,1.62891,-1.04248,-0.26929,jumping
4,0.2915,-0.59619,-0.1665,jumping
4,-1.60571,0.31201,-0.09766,jumping
4,-0.62061,0.11157,0.4917,jumping
4,-0.89355,0.06445,-0.08447,jumping
4,-0.40259,-0.12598,-0.02686,jumping
4,0.53271,-0.52002,0.28418,jumping
4,2.16577,-0.58252,-0.08374,jumping
4,2.39868,-1.44897,-0.22705,jumping
4,2.35132,-0.63965,-0.62061,jumping
4,2.30054,-0.823,-0.82007,jumping
4,1.02954,-0.70874,-0.604,jumping
4,-0.42578,0.14502,-0.07202,jumping
4,-1.45923,0.51367,0.08252,jumping
4,-0.26758,-0.15503,0.77905,jumping
4,-0.79028,0.26416,0.23315,jumping
4,0.21997,-0.44263,0.07886,jumping
4,0.96289,-0.72778,-0.09912,jumping
4,1.41602,-0.8501,-0.18311,jumping
4,2.16553,-1.23779,-0.14966,jumping
4,2.78662,-1.17261,-0.7356,jumping
4,2.58594,-1.05859,-0.77368,jumping
4,2.08594,-1.06689,-0.28076,jumping
4,0.87427,-0.71338,-0.1709,jumping
4,-0.69409,0.15479,0.06494,jumping
4,-1.21973,0.33032,0.05249,jumping
4,-0.50757,-0.01367,0.11914,jumping
4,-0.75073,0.13525,-0.12207,jumping
4,0.10596,-0.55347,0.02881,jumping
4,0.82471,-0.82666,0.29858,jumping
4,2.25854,-0.72339,0.28979,jumping
4,2.97046,-1.16455,-0.07739,jumping
4,3.23218,-0.71851,-0.78491,jumping
4,2.55615,-0.88965,-0.91797,jumping
4,0.93213,-1.23242,-0.03687,jumping
4,-0.48389,-0.05615,-0.15967,jumping
4,-1.19702,0.56152,-0.13745,jumping
4,-0.50122,0.24048,0.33545,jumping
4,-0.83423,0.16284,0.02441,jumping
4,-0.40845,-0.28564,0.04663,jumping
4,0.39014,-0.92236,0.20166,jumping
4,2.45996,-1.26025,-0.36841,jumping
4,2.70605,-2.10034,0.24658,jumping
4,2.46851,0.16626,-0.71338,jumping
4,2.12305,-1.43994,-1.07373,jumping
4,1.91797,-1.54248,-0.23047,jumping
4,0.39868,-0.42578,-0.13623,jumping
4,-1.47412,0.4834,0.00317,jumping
4,-0.96777,0.28906,0.15894,jumping
4,-0.60278,0.1145,0.10181,jumping
4,-0.54321,-0.17017,0.06592,jumping
4,0.1001,-0.5105,0.10913,jumping
4,1.68262,-0.98145,0.48755,jumping
4,2.81445,-1.69678,-0.02026,jumping
4,2.75488,-0.33643,-0.45776,jumping
4,2.16675,-0.50635,-0.5957,jumping
4,2.2334,-1.11279,-0.50586,jumping
4,1.68408,-0.90186,-0.35986,jumping
4,0.29419,-0.27417,-0.26245,jumping
4,-1.08643,0.44092,0.05151,jumping
4,-0.97681,0.1394,0.52222,jumping
4,-0.72925,-0.00293,0.02539,jumping
4,-0.29761,0.0188,-0.24512,jumping
4,1.57397,-1.01001,-0.21606,jumping
4,2.00488,-1.39771,-0.19482,jumping
4,2.37793,-1.33008,-0.3335,jumping
4,2.37573,-1.19434,-0.56885,jumping
4,2.09961,-1.09302,-0.4082,jumping
4,1.47314,-0.77515,-0.33081,jumping
4,-0.04858,0.04541,-0.43848,jumping
4,-0.63208,0.09888,-0.06836,jumping
4,-0.55835,0.07056,0.23706,jumping
4,-0.3501,0.15356,0.07227,jumping
4,-0.31592,0.17676,0.04346,jumping
4,0.14087,-0.30396,0.12671,jumping
4,1.11499,-0.69824,0.15991,jumping
4,2.11377,-0.94312,-0.58594,jumping
4,2.94458,-2.3479,-0.37646,jumping
4,2.67236,-1.27563,-0.54639,jumping
4,2.01782,-1.35962,-0.30713,jumping
4,0.71436,-0.56519,-0.21411,jumping
4,-0.40942,0.25439,-0.2998,jumping
4,-1.15894,0.19922,0.1355,jumping
4,-0.4502,0.1582,0.16455,jumping
4,-0.72266,0.04175,-0.13696,jumping
4,-0.0708,-0.37793,0.08301,jumping
4,0.80396,-0.58276,0.22852,jumping
4,1.64697,-0.70972,-0.12183,jumping
4,2.62256,-1.00342,-0.45166,jumping
4,3.07324,-0.90942,-0.40161,jumping
4,2.49365,-0.23071,-1.30957,jumping
4,1.87988,-0.72876,-0.87769,jumping
4,1.22485,-1.0166,-0.28979,jumping
4,-0.60718,0.09033,-0.36475,jumping
4,-1.41504,0.36011,0.05127,jumping
4,-0.23145,-0.05005,0.3772,jumping
4,-0.8811,0.03784,-0.00269,jumping
4,-0.56812,-0.17725,0.28857,jumping
4,0.59277,-0.49072,0.14282,jumping
4,2.60278,-0.82568,-0.4502,jumping
4,3.1604,-1.10132,-0.573,jumping
4,2.77637,-0.78735,-0.58105,jumping
4,2.3877,-0.85645,-0.83472,jumping
4,1.87354,-1.01099,-0.59717,jumping
